Batteriespannung;Luftdruck;CO²-Wert;Helligkeit;Luftfeuchtigkeit;Temperatur(Durchschnitt);Gefühlte temperatur;Windgeschwindigkeit;Temperatur(DHT);Temperatur(DHT-KORRIGIERT);Temperatur(BMP)
8,00;1031,03;752,00;1022,00;55,70;20,81;27,05;0,00;26,30;18,86;22,75
8,00;1031,06;763,00;1022,00;55,70;20,81;27,05;0,00;26,30;18,86;22,76
8,00;1031,14;770,00;1023,00;55,70;20,81;27,05;0,00;26,30;18,86;22,76
8,00;1031,17;768,00;1022,00;55,70;20,82;27,05;0,00;26,30;18,86;22,77
8,00;1031,06;754,00;1022,00;55,70;20,85;27,15;0,00;26,40;18,96;22,75
8,00;1031,03;765,00;1023,00;55,70;20,85;27,15;0,00;26,40;18,96;22,74
8,00;1031,06;770,00;1022,00;55,70;20,86;27,15;0,00;26,40;18,96;22,75
8,00;1031,07;766,00;1022,00;55,70;20,85;27,15;0,00;26,40;18,96;22,75
8,00;1030,97;753,00;1023,00;55,60;20,84;27,15;0,00;26,40;18,96;22,73
8,00;1031,04;767,00;1023,00;55,60;20,85;27,15;0,00;26,40;18,96;22,74
8,00;1031,08;767,00;1022,00;55,60;20,85;27,15;0,00;26,40;18,96;22,73
8,00;1031,07;771,00;1022,00;55,60;20,84;27,15;0,00;26,40;18,96;22,73
8,00;1031,01;753,00;1023,00;55,60;20,84;27,15;0,00;26,40;18,96;22,73
8,00;1031,07;767,00;1022,00;55,60;20,85;27,15;0,00;26,40;18,96;22,74
8,00;1031,06;767,00;1022,00;55,60;20,84;27,15;0,00;26,40;18,96;22,72
8,00;1031,00;763,00;1023,00;55,60;20,84;27,15;0,00;26,40;18,96;22,72
8,00;1031,00;752,00;1022,00;55,50;20,88;27,24;0,00;26,50;19,06;22,70
8,00;1031,05;764,00;1022,00;55,50;20,89;27,24;0,00;26,50;19,06;22,71
8,00;1031,00;771,00;1022,00;55,50;20,89;27,24;0,00;26,50;19,06;22,71
8,00;1031,01;768,00;1023,00;55,50;20,88;27,24;0,00;26,50;19,06;22,70
8,00;1031,07;754,00;1022,00;55,50;20,89;27,24;0,00;26,50;19,06;22,72
8,00;1031,10;765,00;1023,00;55,50;20,89;27,24;0,00;26,50;19,06;22,72
8,00;1031,04;763,00;1022,00;55,50;20,89;27,24;0,00;26,50;19,06;22,71
8,00;1031,05;769,00;1023,00;55,50;20,88;27,24;0,00;26,50;19,06;22,70
8,00;1031,03;752,00;1023,00;55,50;20,88;27,24;0,00;26,50;19,06;22,70
8,00;1031,01;768,00;1022,00;55,50;20,88;27,24;0,00;26,50;19,06;22,69
8,00;1031,04;767,00;1022,00;55,50;20,88;27,24;0,00;26,50;19,06;22,69
8,00;1031,05;771,00;1023,00;55,50;20,87;27,24;0,00;26,50;19,06;22,69
8,00;1031,05;751,00;1022,00;55,40;20,93;27,34;0,00;26,60;19,16;22,69
8,00;1031,05;762,00;1022,00;55,40;20,93;27,34;0,00;26,60;19,16;22,69
8,00;1031,06;768,00;1023,00;55,40;20,92;27,34;0,00;26,60;19,16;22,69
8,00;1031,02;768,00;1023,00;55,40;20,92;27,34;0,00;26,60;19,16;22,68
8,00;1031,05;753,00;1023,00;55,40;20,92;27,34;0,00;26,60;19,16;22,68
8,00;1031,04;766,00;1023,00;55,40;20,92;27,34;0,00;26,60;19,16;22,68
8,00;1031,02;768,00;1023,00;55,40;20,92;27,34;0,00;26,60;19,16;22,68
8,00;1031,06;768,00;1022,00;55,40;20,92;27,34;0,00;26,60;19,16;22,68
8,00;1031,05;753,00;1023,00;55,30;20,92;27,33;0,00;26,60;19,16;22,68
8,00;1031,09;760,00;1022,00;55,30;20,92;27,33;0,00;26,60;19,16;22,68
8,00;1031,10;768,00;1023,00;55,30;20,92;27,33;0,00;26,60;19,16;22,68
