BME280_Temperature;BME280_Humidity;BME280_Airpressure;BMP180_Temperature;BMP180_Airpressure;DHT_Temperature;DHT_HEAT_INDEX;DHT_Humidity;RTC_Temperature;TOTAL_Temperature;TOTAL_Airpressure;TOTAL_Humidity;Brightness;Loudness;MQ2;MQ135
27,63;67,11;95,76;26,74;95,52;27,20;29,66;74,80;27,25;27,20;95,64;70,95;83,00;59,00;5,00;8,00
27,65;66,13;95,76;26,68;95,52;27,20;29,66;74,80;27,25;27,19;95,64;70,47;84,00;60,00;5,00;8,00
27,68;66,32;95,76;26,71;95,52;27,20;30,17;79,80;27,25;27,21;95,64;73,06;84,00;60,00;5,00;8,00
27,69;66,65;95,76;26,71;95,52;27,20;30,17;79,80;27,25;27,21;95,64;73,23;84,00;60,00;5,00;8,00
27,70;66,72;95,76;26,72;95,52;27,20;30,45;82,40;27,25;27,22;95,64;74,56;84,00;59,00;5,00;7,00
27,70;66,78;95,76;26,74;95,52;27,20;30,45;82,40;27,25;27,22;95,64;74,59;84,00;60,00;5,00;7,00
27,70;66,48;95,77;26,73;95,52;27,20;30,48;82,70;27,25;27,22;95,64;74,59;83,00;60,00;5,00;7,00
27,70;65,97;95,76;26,73;95,52;27,20;30,48;82,70;27,25;27,22;95,64;74,34;83,00;59,00;4,00;7,00
27,70;65,19;95,76;26,71;95,52;27,20;30,36;81,60;27,25;27,21;95,64;73,40;84,00;60,00;4,00;7,00
27,70;65,05;95,76;26,73;95,52;27,20;30,36;81,60;27,25;27,22;95,64;73,32;83,00;59,00;4,00;7,00
27,70;64,69;95,76;26,74;95,53;27,20;30,19;80,00;27,25;27,22;95,64;72,34;84,00;60,00;4,00;7,00
27,71;64,76;95,76;26,74;95,52;27,20;30,19;80,00;27,25;27,23;95,64;72,38;83,00;61,00;4,00;7,00
27,72;65,08;95,76;26,76;95,53;27,30;30,23;78,30;27,50;27,32;95,64;71,69;84,00;60,00;4,00;7,00
27,73;65,55;95,76;26,77;95,52;27,30;30,23;78,30;27,50;27,33;95,64;71,93;83,00;60,00;4,00;7,00
27,74;65,84;95,76;26,76;95,52;27,30;30,06;76,70;27,50;27,33;95,64;71,27;84,00;60,00;4,00;7,00
27,74;66,08;95,77;26,75;95,52;27,30;30,06;76,70;27,50;27,32;95,64;71,39;85,00;60,00;4,00;7,00
27,73;65,43;95,76;26,73;95,51;27,30;29,94;75,60;27,50;27,32;95,64;70,51;84,00;60,00;4,00;7,00
27,74;65,35;95,76;26,75;95,52;27,30;29,94;75,60;27,50;27,32;95,64;70,48;84,00;60,00;4,00;7,00
27,74;65,34;95,76;26,76;95,52;27,30;29,96;75,80;27,50;27,33;95,64;70,57;83,00;59,00;4,00;7,00
